code,name
1I,Sky Trek Int'L Airlines
2T,"Canada 3000 Airlines, Ltd."
2Z,Air Comet S.A.
3K,Tatonduk Flying Service
5G,Queen Air
5X,United Parcel Service
5Y,"Atlas Air, Inc."
6A,Aviacsa Airlines
6B,Britannia Airways A.B.
6F,"Laker Airways, Inc."
6U,Air Ukraine
6Y,Nicaraguense De Aviacion Sa
7B,Krasair
7P,"Apa International Air, S.A."
7Z,Laker Airways
7Z,Lb Limited
8C,Air Transport International
8N,"Flagship Airlines, Inc."
9S,Southern Air Inc.
AA,"American Airlines, Inc."
AC,Air Canada
AF,Compagnie Nat'L Air France
AI,Air-India
AM,Aeromexico
AMQ,Ameristar Air Cargo
AQ,"Aloha Airlines, Inc."
AQQ,Air Charter (Safa)
AR,Aerolineas Argentinas
ARQ,"Aerovias Colombianas, Arca"
AS,"Alaska Airlines, Inc."
AT,Royal Air Maroc
AUQ,Antonov Design Bureau
AV,Aerovias Nac'L De Colombia
AY,Finnair Oy
AZ,Alitalia-Linee Aeree Italia
BA,British Airways Plc
BBQ,Balair Ag
BCQ,Bradley Air Services Ltd.
BFQ,"Buffalo Airways, Inc."
BG,Biman Bangladesh Airlines
BGQ,Airbus Transport Internat'L
BN,Britannia Airways Gmbh
BQ,"Aeromar, C. Por A."
BR,"Cal Air Int'L, Ltd"
BR,Eva Airways Corporation
BRQ,Caledonian Airways
BTQ,Brasair Transportes Aereos
BW,British West Indian Airways
BY,Britannia Airways Ltd.
CA,Air China
CC,Air Atlanta Icelandic
CCQ,Capital Cargo International
CDQ,"American Int'L Airways, Inc"
CDQ,Connie Kalitta Services
CDQ,Kitty Hawk International
CF,Compan. De Aviacion Faucett
CI,"China Airlines, Ltd"
CJQ,Air Caribbean
CLQ,Aero Transcolombiana
CM,Compania Panamena (Copa)
CO,"Continental Air Lines, Inc."
CP,Canadian Airlines Int'L Ltd
CS,Continental Micronesia
CUQ,Caicos Caribbean Airways
CV,Cargolux Airlines Int'L S.A
CVQ,"Caraven, S.A."
CW,"Air Marshall Islands, Inc."
CX,"Cathay Pacific Airways, Ltd"
CYQ,Corse Air International
CZ,China Southern Airlines
DE,Condor Flugdienst
DFQ,Condor Flugdienst
DHQ,Dhl Aero Expresso
DL,"Delta Air Lines, Inc."
DSQ,Discovery Airlines
ED,Andes (Cargo)
ED,C.C. Air
EH,Saeta Airlines
EI,Aer Lingus Plc
EOQ,Aeroservicios Ecuatorianos
ER,Dhl Airways
ET,Ethiopian Airlines
EU,Ecuatoriana De Aviacion
EU,Empresa Ecuatoriana De Avia
EV,Atlantic Southeast Airlines
EVQ,"Aeroejecutivo, S.A."
EXQ,"Export Air Del Peru, S.A."
EZ,"Evergreen Int'L, Inc."
FCQ,Falcon Air Express
FF,"Tower Air, Inc."
FI,Icelandair
FJ,"Air Pacific, Ltd."
FL,Airtran Airways Corporation
FM,Federal Express Corporation
FNQ,"Fine Airlines, Inc."
FQ,Air Aruba
FS,Serv De Trans Aereos Fuegui
FX,Federal Express Corporation
G3,"Aerochago, S.A."
GA,P.T. Garuda Indonesian Arwy
GD,Transp. Aereos Ejecutivos
GF,Gulf Air Company
GFQ,Gulf And Caribbean Cargo
GH,Ghana Airways Corporation
GJ,Mexicargo
GLQ,Allegiant Air
GR,Gemini Air Cargo Airways
GS,Air Foyle Limited
GU,Aviateca
GY,Guyana Airways Corporation
H2,City Bird
H5,Magadan Airlines
HA,"Hawaiian Airlines, Inc."
HAQ,Hapag Lloyd Flug.
HB,Air Club International
HCQ,Av Atlantic
HFQ,Haiti Air Freight Intl
